"idx","full_path","rel_path","top_dir","parent_rel","file_name","stem","ext","size","mtime_utc","sha256","reason_flags","keep_score"
"56","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\5314\J11B.5314.B.335.920  2","J11B直管\5314\J11B.5314.B.335.920  2","J11B直管","J11B直管\5314","J11B.5314.B.335.920  2","J11B.5314.B.335",".920  2","9045","2022-04-07T11:12:46.0000000Z","DC281487437397475732F06C6B05E0F4DBB284198C5F8127F6823C42F63B7836","","34"
"57","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\5324\030.939","J11B直管\5324\030.939","J11B直管","J11B直管\5324","030.939","030",".939","3645","2023-11-14T05:39:42.0000000Z","BCBF8212DDE15FD5553D945E820E9F462EE1AC3AF129A4216A55BE479151BA1B","","19"
"58","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\5324\J11B.5324.B.030.918","J11B直管\5324\J11B.5324.B.030.918","J11B直管","J11B直管\5324","J11B.5324.B.030.918","J11B.5324.B.030",".918","9045","2022-04-07T11:05:08.0000000Z","196E5D4634C0F3887E7AFC47FA2AABB213EB2DD3847A26700970CE1CA34A33A8","","31"
"59","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\5324\J11B.5324.B.030.938  3","J11B直管\5324\J11B.5324.B.030.938  3","J11B直管","J11B直管\5324","J11B.5324.B.030.938  3","J11B.5324.B.030",".938  3","9045","2022-04-07T11:04:46.0000000Z","3C29B46C93A9F133535EBC2F6E5B92DA468C3B12C7E411D0492287C25650BF45","","34"
"60","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\5324\J11B.5324.B.030.939","J11B直管\5324\J11B.5324.B.030.939","J11B直管","J11B直管\5324","J11B.5324.B.030.939","J11B.5324.B.030",".939","5445","2024-04-11T05:46:44.0000000Z","B9DD68A1D24B6572059782B22738936DD5444D1455AE89B76A4912D441CD738F","","31"
"61","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\5324\J11B.5324.B.030.940  2","J11B直管\5324\J11B.5324.B.030.940  2","J11B直管","J11B直管\5324","J11B.5324.B.030.940  2","J11B.5324.B.030",".940  2","9045","2022-04-07T11:05:38.0000000Z","C476D7D74F81FEDDF06D38007699307FEC152A236BF42412DF6CD0CFA45A0347","","34"
"62","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\5324\J11B.5324.B.030.941  3","J11B直管\5324\J11B.5324.B.030.941  3","J11B直管","J11B直管\5324","J11B.5324.B.030.941  3","J11B.5324.B.030",".941  3","9045","2022-04-07T11:06:00.0000000Z","56E84DFF23C78B0BE1F571E7F0962218FCCBCDB78E5B1F286B950F6ACF12D9EA","","34"
"63","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\5324\J11B.5324.B.030.956","J11B直管\5324\J11B.5324.B.030.956","J11B直管","J11B直管\5324","J11B.5324.B.030.956","J11B.5324.B.030",".956","9045","2017-02-14T00:07:18.0000000Z","307B27A887D89D5DF0A6349C6ABC0A8E8AE37CA4B9A1B01C212694F63D2B8BDA","","31"
"64","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\5324\J11B.5324.B.035.907","J11B直管\5324\J11B.5324.B.035.907","J11B直管","J11B直管\5324","J11B.5324.B.035.907","J11B.5324.B.035",".907","9045","2022-04-07T11:06:34.0000000Z","F6AFAE1E6D3AB008A4DC2B1C8A5D01C78280EB8D49E96C0A17320F2E97270F59","","31"
"65","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\5324\J11B.5324.B.035.908  2.908","J11B直管\5324\J11B.5324.B.035.908  2.908","J11B直管","J11B直管\5324","J11B.5324.B.035.908  2.908","J11B.5324.B.035.908  2",".908","9045","2022-04-07T11:15:16.0000000Z","F9DD4533CA78F2F7A85C12EF4537E0CC33FCED93CCE3148F094B7534EF6A1B5D","","38"
